Product_en;Amount_pcs;Price;Date
Souvenirs;2;1,00;2019-04-29
Souvenirs;1;0,00;2019-04-30
Souvenirs;1;49,00;2019-05-21
Various;1;320,00;2019-05-21
Souvenirs;3;387,00;2019-05-22
Clothes;1;450,00;2019-05-22
Books;4;309,00;2019-05-22
Various;45;3499,00;2019-05-22
Fluffy socks;2;268,00;2019-05-22
Christmas;1;69,00;2019-05-22
Hat;1;150,00;2019-05-22
Keychain;1;49,00;2019-05-22
Snow globe;1;79,00;2019-05-22
Ny Form Troll;1;219,00;2019-05-22
Clothes;3;718,00;2019-05-23
Books;1;129,00;2019-05-23
Various;16;1625,00;2019-05-23
Softshell;2;838,60;2019-05-23
Troll magnet;3;147,00;2019-05-23
Fluffy socks;1;129,00;2019-05-23
Hat;3;297,00;2019-05-23
Socks;1;89,00;2019-05-23
Down coat;1;999,00;2019-05-23
Magnet;1;49,00;2019-05-23
Snow globe;1;65,00;2019-05-23
Shawl/Scarf;1;110,00;2019-05-23
Lighter;1;83,30;2019-05-23
Clothes;1;69,00;2019-05-24
Various;4;186,00;2019-05-24
Hat;2;340,00;2019-05-24
Magnet;1;49,00;2019-05-24
Shawl/Scarf;1;69,00;2019-05-24
Souvenirs;5;165,00;2019-05-25
Clothes;3;989,00;2019-05-25
Various;18;1505,00;2019-05-25
Softshell;3;1797,00;2019-05-25
Down jacket;1;899,00;2019-05-25
Mocca Fleece;1;499,00;2019-05-25
Fluffy socks;1;139,00;2019-05-25
Magnet;1;49,00;2019-05-25
Snow globe;1;79,00;2019-05-25
Woolen sweater;1;1899,00;2019-05-25
Sticker/Patch;1;49,00;2019-05-25
Postcard;4;32,00;2019-05-25
Pen/Pencil;1;39,00;2019-05-25
Lighter;1;119,00;2019-05-25
Souvenirs;2;119,00;2019-05-26
Clothes;1;69,00;2019-05-26
Books;1;189,00;2019-05-26
Various;18;2170,00;2019-05-26
Food;3;237,00;2019-05-26
Troll magnet;2;118,00;2019-05-26
Hat;8;792,00;2019-05-26
Keychain;5;295,00;2019-05-26
Combijacket;1;499,00;2019-05-26
Magnet;2;86,00;2019-05-26
Snow globe;1;79,00;2019-05-26
Postcard;15;120,00;2019-05-26
Kitchen;1;99,00;2019-05-26
Post stamp;13;273,00;2019-05-26
Souvenirs;13;1333,00;2019-05-27
Clothes;3;818,00;2019-05-27
Books;1;189,00;2019-05-27
Various;26;3545,00;2019-05-27
Food;13;987,00;2019-05-27
Fur;1;1595,00;2019-05-27
Softshell;4;2396,00;2019-05-27
Flower jacket;1;999,00;2019-05-27
Mocca Fleece;1;499,00;2019-05-27
Troll magnet;3;177,00;2019-05-27
Fluffy socks;2;218,00;2019-05-27
Hat;1;99,00;2019-05-27
Candy/Chocolate;5;345,00;2019-05-27
T-shirt;6;1284,00;2019-05-27
Socks;3;277,00;2019-05-27
Keychain;1;59,00;2019-05-27
Down coat;1;999,00;2019-05-27
Combijacket;2;998,00;2019-05-27
Hoodie;1;299,00;2019-05-27
Magnet;4;196,00;2019-05-27
Ny Form Troll;1;279,00;2019-05-27
Woolen sweater;1;1599,00;2019-05-27
Gloves/Mittens;4;579,00;2019-05-27
Sticker/Patch;2;819,00;2019-05-27
Postcard;10;80,00;2019-05-27
Viking;2;230,00;2019-05-27
Kitchen;1;89,00;2019-05-27
Post stamp;10;210,00;2019-05-27
Buff;2;138,00;2019-05-27
Pen/Pencil;2;138,00;2019-05-27
Slate;3;330,00;2019-05-27
Souvenirs;4;306,00;2019-05-28
Books;1;189,00;2019-05-28
Various;4;384,00;2019-05-28
Food;2;194,00;2019-05-28
Softshell;1;599,00;2019-05-28
Mocca Fleece;1;499,00;2019-05-28
Fluffy socks;2;268,00;2019-05-28
Hat;4;517,00;2019-05-28
T-shirt;3;647,00;2019-05-28
Keychain;2;118,00;2019-05-28
Combijacket;0;0,00;2019-05-28
Magnet;9;441,00;2019-05-28
Gloves/Mittens;1;150,00;2019-05-28
Sticker/Patch;1;29,00;2019-05-28
Shot glass;1;89,00;2019-05-28
Postcard;4;32,00;2019-05-28
Shawl/Scarf;1;110,00;2019-05-28
Post stamp;1;21,00;2019-05-28
Slate;1;110,00;2019-05-28
Souvenirs;123;12003,30;2019-05-29
Trolls;5;477,00;2019-05-29
Clothes;53;11889,00;2019-05-29
Books;24;2572,00;2019-05-29
Figures;1;829,00;2019-05-29
Various;331;37004,50;2019-05-29
Food;32;2474,00;2019-05-29
Fur;10;7262,00;2019-05-29
Softshell;26;15524,00;2019-05-29
Down jacket;2;1798,00;2019-05-29
Flower jacket;1;999,00;2019-05-29
Mocca Fleece;7;3493,00;2019-05-29
Troll magnet;86;5034,00;2019-05-29
Fluffy socks;25;3155,00;2019-05-29
Christmas;22;1675,00;2019-05-29
Hat;50;5816,30;2019-05-29
Candy/Chocolate;16;1524,00;2019-05-29
T-shirt;63;13887,00;2019-05-29
Socks;11;915,00;2019-05-29
Keychain;100;6460,00;2019-05-29
Cap;15;2279,00;2019-05-29
Combijacket;3;1497,00;2019-05-29
Hoodie;5;1495,00;2019-05-29
Magnet;375;19615,00;2019-05-29
Snow globe;17;1575,00;2019-05-29
Ny Form Troll;13;3227,00;2019-05-29
Woolen sweater;3;5197,00;2019-05-29
Gloves/Mittens;10;1415,00;2019-05-29
Sticker/Patch;9;431,00;2019-05-29
Mug;22;2295,00;2019-05-29
Shot glass;5;445,00;2019-05-29
Soft toy;3;339,00;2019-05-29
Postcard;465;3813,00;2019-05-29
Pin;2;90,00;2019-05-29
Shawl/Scarf;7;1030,00;2019-05-29
Viking;18;2513,50;2019-05-29
Kitchen;22;2178,00;2019-05-29
Post stamp;280;5886,00;2019-05-29
Headband;8;796,00;2019-05-29
Children;1;99,00;2019-05-29
Buff;5;345,00;2019-05-29
Pen/Pencil;12;548,00;2019-05-29
Lighter;14;1078,00;2019-05-29
Glasses case;8;762,30;2019-05-29
Nordkapp figure;2;300,00;2019-05-29
Bottle cap;2;118,00;2019-05-29
Slate;1;99,00;2019-05-29
Stationery;13;537,00;2019-05-29
Souvenirs;41;2815,00;2019-05-30
Trolls;1;110,00;2019-05-30
Clothes;7;2677,00;2019-05-30
Books;2;288,00;2019-05-30
Various;29;2570,00;2019-05-30
Food;3;177,00;2019-05-30
Softshell;2;1198,00;2019-05-30
Mocca Fleece;1;499,00;2019-05-30
Troll magnet;7;413,00;2019-05-30
Fluffy socks;7;923,00;2019-05-30
Christmas;10;1261,00;2019-05-30
Hat;10;1366,00;2019-05-30
Candy/Chocolate;12;698,00;2019-05-30
T-shirt;10;2340,00;2019-05-30
Socks;9;791,00;2019-05-30
Keychain;32;1930,00;2019-05-30
Cap;6;929,00;2019-05-30
Magnet;42;2128,00;2019-05-30
Snow globe;2;158,00;2019-05-30
Gloves/Mittens;3;450,00;2019-05-30
Sticker/Patch;1;29,00;2019-05-30
Mug;4;417,00;2019-05-30
Shot glass;5;341,00;2019-05-30
Soft toy;1;139,00;2019-05-30
Postcard;60;511,00;2019-05-30
Pin;2;90,00;2019-05-30
Shawl/Scarf;4;777,00;2019-05-30
Viking;2;214,00;2019-05-30
Kitchen;4;376,00;2019-05-30
Post stamp;32;672,00;2019-05-30
Headband;2;240,00;2019-05-30
Buff;3;207,00;2019-05-30
Thimble;1;50,00;2019-05-30
Lighter;4;140,00;2019-05-30
Nordkapp figure;1;120,00;2019-05-30
Slate;1;110,00;2019-05-30
License plate;1;65,00;2019-05-30
Souvenirs;30;2081,00;2019-05-31
Trolls;4;626,00;2019-05-31
Clothes;8;2337,00;2019-05-31
Books;10;1441,00;2019-05-31
Various;38;4119,00;2019-05-31
Food;14;1176,00;2019-05-31
Fur;6;3071,00;2019-05-31
Softshell;10;5990,00;2019-05-31
Down jacket;2;1798,00;2019-05-31
Mocca Fleece;4;1910,00;2019-05-31
Troll magnet;7;403,00;2019-05-31
Fluffy socks;9;1111,00;2019-05-31
Christmas;6;643,00;2019-05-31
Hat;5;597,00;2019-05-31
Candy/Chocolate;12;878,00;2019-05-31
T-shirt;9;2001,00;2019-05-31
Socks;2;188,00;2019-05-31
Keychain;40;2760,00;2019-05-31
Cap;7;1079,00;2019-05-31
Down coat;1;999,00;2019-05-31
Magnet;55;2895,00;2019-05-31
Snow globe;4;398,00;2019-05-31
Ny Form Troll;6;1354,00;2019-05-31
Gloves/Mittens;5;729,00;2019-05-31
Sticker/Patch;6;235,00;2019-05-31
Mug;11;1142,00;2019-05-31
Shot glass;4;528,00;2019-05-31
Soft toy;2;289,00;2019-05-31
Postcard;121;968,00;2019-05-31
Jewelry;2;598,00;2019-05-31
Pin;1;45,00;2019-05-31
Shawl/Scarf;2;220,00;2019-05-31
Kitchen;2;240,00;2019-05-31
Post stamp;71;1491,00;2019-05-31
Children;1;99,00;2019-05-31
Buff;3;207,00;2019-05-31
Pen/Pencil;1;69,00;2019-05-31
Lighter;5;259,00;2019-05-31
Nordkapp figure;2;270,00;2019-05-31
Stationery;3;147,00;2019-05-31
License plate;2;130,00;2019-05-31
Boxer;1;139,00;2019-05-31
Souvenirs;15;685,00;2019-06-01
Trolls;2;260,00;2019-06-01
Clothes;1;99,00;2019-06-01
Books;4;448,00;2019-06-01
Various;9;1023,00;2019-06-01
Food;2;128,00;2019-06-01
Softshell;1;599,00;2019-06-01
Down jacket;1;629,30;2019-06-01
Troll magnet;1;59,00;2019-06-01
Christmas;3;177,00;2019-06-01
T-shirt;3;747,00;2019-06-01
Socks;2;174,00;2019-06-01
Cap;1;150,00;2019-06-01
Magnet;5;535,00;2019-06-01
Ny Form Troll;1;179,00;2019-06-01
Postcard;1;1,88;2019-06-01
Viking;3;473,00;2019-06-01
Kitchen;1;99,00;2019-06-01
Children;2;198,00;2019-06-01
Pen/Pencil;1;39,00;2019-06-01
Souvenirs;188;18049,00;2019-06-02
Trolls;17;1956,00;2019-06-02
Clothes;50;24942,00;2019-06-02
Books;27;3846,20;2019-06-02
Figures;2;1038,00;2019-06-02
Various;140;18316,00;2019-06-02
Food;16;1124,00;2019-06-02
Fur;8;7760,00;2019-06-02
Softshell;22;13178,00;2019-06-02
Flower jacket;5;4995,00;2019-06-02
Mocca Fleece;16;7984,00;2019-06-02
Troll magnet;12;708,00;2019-06-02
Fluffy socks;28;3622,00;2019-06-02
Christmas;51;4383,00;2019-06-02
Hat;49;5695,00;2019-06-02
Candy/Chocolate;15;1275,00;2019-06-02
T-shirt;47;11123,00;2019-06-02
Socks;17;1531,00;2019-06-02
Keychain;71;4309,00;2019-06-02
Cap;12;1798,00;2019-06-02
Combijacket;2;998,00;2019-06-02
Magnet;115;5885,00;2019-06-02
Snow globe;4;316,00;2019-06-02
Ny Form Troll;8;2552,00;2019-06-02
Woolen sweater;2;3198,00;2019-06-02
Gloves/Mittens;11;1647,00;2019-06-02
Sticker/Patch;13;648,00;2019-06-02
Mug;8;845,00;2019-06-02
Shot glass;6;440,00;2019-06-02
Soft toy;7;837,00;2019-06-02
Postcard;149;1192,00;2019-06-02
Pin;4;180,00;2019-06-02
Shawl/Scarf;10;1213,00;2019-06-02
Napkins;14;826,00;2019-06-02
Viking;6;974,00;2019-06-02
Kitchen;19;1842,00;2019-06-02
Post stamp;52;1122,00;2019-06-02
Headband;3;360,00;2019-06-02
Children;6;714,00;2019-06-02
Buff;6;414,00;2019-06-02
Thimble;1;50,00;2019-06-02
Pen/Pencil;10;600,00;2019-06-02
Lighter;6;210,00;2019-06-02
Card Deck;4;300,00;2019-06-02
Glasses case;1;99,00;2019-06-02
Nordkapp figure;4;540,00;2019-06-02
Bottle cap;6;594,00;2019-06-02
Slate;6;721,00;2019-06-02
Stationery;3;147,00;2019-06-02
License plate;2;130,00;2019-06-02
Pocket knife;1;120,00;2019-06-02
Boxer;5;695,00;2019-06-02
Souvenirs;115;11173,00;2019-06-03
Trolls;22;2473,00;2019-06-03
Clothes;33;7509,00;2019-06-03
Books;16;2150,00;2019-06-03
Various;79;10522,00;2019-06-03
Food;42;2900,00;2019-06-03
Fur;5;3891,00;2019-06-03
Softshell;41;24559,00;2019-06-03
Down jacket;2;1798,00;2019-06-03
Mocca Fleece;6;2994,00;2019-06-03
Troll magnet;14;826,00;2019-06-03
Fluffy socks;23;2737,00;2019-06-03
Christmas;24;2628,00;2019-06-03
Hat;52;6176,00;2019-06-03
Candy/Chocolate;23;1477,00;2019-06-03
T-shirt;29;6851,00;2019-06-03
Socks;20;1726,00;2019-06-03
Keychain;56;3544,00;2019-06-03
Cap;16;2516,00;2019-06-03
Combijacket;4;1996,00;2019-06-03
Hoodie;4;1196,00;2019-06-03
Magnet;106;5684,00;2019-06-03
Snow globe;14;1229,00;2019-06-03
Ny Form Troll;6;1534,00;2019-06-03
Woolen sweater;2;2798,00;2019-06-03
Gloves/Mittens;3;450,00;2019-06-03
Sticker/Patch;19;694,00;2019-06-03
Mug;7;704,00;2019-06-03
Shot glass;7;771,00;2019-06-03
Soft toy;8;1525,00;2019-06-03
Postcard;164;1312,00;2019-06-03
Jewelry;7;1850,00;2019-06-03
Shawl/Scarf;18;2394,00;2019-06-03
Napkins;1;59,00;2019-06-03
Viking;8;944,00;2019-06-03
Kitchen;13;1168,00;2019-06-03
Post stamp;93;1965,00;2019-06-03
Headband;8;919,00;2019-06-03
Children;8;872,00;2019-06-03
Buff;7;483,00;2019-06-03
Pen/Pencil;2;88,00;2019-06-03
Lighter;6;210,00;2019-06-03
Card Deck;2;150,00;2019-06-03
Glasses case;4;396,00;2019-06-03
Nordkapp figure;4;570,00;2019-06-03
Slate;3;268,00;2019-06-03
Stationery;13;687,00;2019-06-03
License plate;1;65,00;2019-06-03
Pocket knife;1;110,00;2019-06-03
Boxer;1;139,00;2019-06-03
Souvenirs;10;710,30;2019-06-04
Trolls;1;99,00;2019-06-04
Clothes;1;749,00;2019-06-04
Books;3;477,00;2019-06-04
Various;3;348,00;2019-06-04
Food;1;49,00;2019-06-04
Softshell;2;1198,00;2019-06-04
Flower jacket;1;999,00;2019-06-04
Troll magnet;3;177,00;2019-06-04
Fluffy socks;1;139,00;2019-06-04
Christmas;1;150,00;2019-06-04
Hat;4;609,00;2019-06-04
Candy/Chocolate;1;69,00;2019-06-04
T-shirt;4;996,00;2019-06-04
Keychain;6;394,00;2019-06-04
Cap;1;179,00;2019-06-04
Magnet;7;343,00;2019-06-04
Ny Form Troll;1;219,00;2019-06-04
Sticker/Patch;2;89,00;2019-06-04
Postcard;8;64,00;2019-06-04
Post stamp;3;63,00;2019-06-04
Children;1;99,00;2019-06-04
Glasses case;1;99,00;2019-06-04
Souvenirs;12;804,30;2019-06-05
Trolls;4;486,00;2019-06-05
Clothes;7;1923,00;2019-06-05
Books;2;209,00;2019-06-05
Various;7;1055,00;2019-06-05
Food;3;247,00;2019-06-05
Fur;1;599,00;2019-06-05
Down jacket;2;1798,00;2019-06-05
Flower jacket;1;999,00;2019-06-05
Troll magnet;2;108,00;2019-06-05
Fluffy socks;2;258,00;2019-06-05
Christmas;3;297,00;2019-06-05
Hat;2;319,00;2019-06-05
Candy/Chocolate;1;39,00;2019-06-05
T-shirt;6;1424,00;2019-06-05
Socks;4;372,00;2019-06-05
Keychain;5;295,00;2019-06-05
Cap;1;105,00;2019-06-05
Combijacket;1;499,00;2019-06-05
Hoodie;2;598,00;2019-06-05
Magnet;7;343,00;2019-06-05
Sticker/Patch;5;194,00;2019-06-05
Postcard;19;152,00;2019-06-05
Napkins;1;59,00;2019-06-05
Kitchen;1;89,00;2019-06-05
Post stamp;9;189,00;2019-06-05
Buff;3;207,00;2019-06-05
Souvenirs;6;492,50;2019-06-06
Clothes;5;503,30;2019-06-06
Various;6;444,00;2019-06-06
Food;2;178,00;2019-06-06
Softshell;1;599,00;2019-06-06
Troll magnet;1;59,00;2019-06-06
Hat;1;99,00;2019-06-06
T-shirt;3;747,00;2019-06-06
Socks;4;376,00;2019-06-06
Keychain;6;291,60;2019-06-06
Combijacket;1;349,30;2019-06-06
Magnet;8;462,00;2019-06-06
Gloves/Mittens;3;450,00;2019-06-06
Sticker/Patch;1;49,00;2019-06-06
Mug;1;99,00;2019-06-06
Postcard;14;112,00;2019-06-06
Shawl/Scarf;1;175,00;2019-06-06
Post stamp;8;168,00;2019-06-06
Headband;1;79,00;2019-06-06
Buff;1;69,00;2019-06-06
Pen/Pencil;1;69,00;2019-06-06
Lighter;1;35,00;2019-06-06
Stationery;1;49,00;2019-06-06
Souvenirs;88;8311,00;2019-06-07
Trolls;21;2525,00;2019-06-07
Clothes;42;7896,00;2019-06-07
Books;3;308,00;2019-06-07
Various;62;5642,00;2019-06-07
Food;7;533,00;2019-06-07
Fur;6;2344,00;2019-06-07
Softshell;25;14975,00;2019-06-07
Down jacket;1;899,00;2019-06-07
Flower jacket;1;999,00;2019-06-07
Mocca Fleece;8;3992,00;2019-06-07
Troll magnet;25;1465,00;2019-06-07
Fluffy socks;11;1509,00;2019-06-07
Christmas;11;922,00;2019-06-07
Hat;72;8919,00;2019-06-07
Candy/Chocolate;14;846,00;2019-06-07
T-shirt;47;10833,00;2019-06-07
Socks;16;1430,00;2019-06-07
Keychain;57;3583,00;2019-06-07
Cap;15;2366,00;2019-06-07
Combijacket;4;1996,00;2019-06-07
Hoodie;8;2392,00;2019-06-07
Magnet;137;6689,00;2019-06-07
Snow globe;13;1122,00;2019-06-07
Ny Form Troll;17;4383,00;2019-06-07
Woolen sweater;3;4597,00;2019-06-07
Gloves/Mittens;11;1649,00;2019-06-07
